model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.4,dementie_0004_0001,6.8945,1197,437,323,63.38,0.00955
gpt-5.4,chronische nierschade_0008_0002,9.1847,9441,580,464,63.15,0.0323
gpt-5.4,COPD_0012_0001,28.6988,845,1870,1540,65.16,0.03016
gpt-5.4,hand-en-polsklachten_0012_0001,19.6554,628,847,516,43.09,0.01427
gpt-5.4,influenza_0002_0001,5.1719,95,256,211,49.5,0.00408
gpt-5.4,hand-en-polsklachten_0014_0001,5.1988,874,344,264,66.17,0.00734
gpt-5.4,COPD_0007_0003,9.693,1262,688,516,70.98,0.01347
gpt-5.4,chronische nierschade_0004_0001,9.6486,2661,652,516,67.57,0.01643
gpt-5.4,astma_bij_volwassenen_0014_0003,8.9273,1298,639,516,71.58,0.01283
gpt-5.4,dementie_0012_0001,12.0471,1058,674,516,55.95,0.01275
gpt-5.4,angst_0005_0001,79.8466,1756,4954,4049,62.04,0.0787
gpt-5.4,influenza_0001_0001,4.8106,565,255,130,53.01,0.00524
gpt-5.4,dementie_0002_0005,3.9661,1857,249,156,62.78,0.00838
gpt-5.4,COPD_0006_0004,10.1309,1954,693,516,68.4,0.01528
gpt-5.4,astma_bij_volwassenen_0001_0001,8.4478,1758,461,350,54.57,0.01131
gpt-5.4,COPD_0012_0002,7.4417,816,547,456,73.51,0.01025
gpt-5.4,hand-en-polsklachten_0010_0004,21.2061,1036,1110,927,52.34,0.01924
gpt-5.4,hand-en-polsklachten_0013_0001,11.7439,832,677,516,57.65,0.01224
gpt-5.4,dementie_0002_0002,7.3681,1788,304,269,41.26,0.00903
gpt-5.4,chronische nierschade_0008_0001,18.3993,1225,1128,1034,61.31,0.01998
gpt-5.4,chronische nierschade_0010_0002,18.3993,1747,2842,2588,154.46,0.047
gpt-5.4,astma_bij_volwassenen_0013_0001,18.3993,1999,5443,4734,295.83,0.08664
gpt-5.4,hartfalen_0007_0002,9.7521,1554,603,516,61.83,0.01293
gpt-5.4,hand-en-polsklachten_0015_0001,11.759,914,643,438,54.68,0.01193
gpt-5.4,COPD_0007_0004,12.7126,602,671,405,52.78,0.01157
gpt-5.4,dementie_0002_0004,7.8244,1257,448,286,57.26,0.00986
gpt-5.4,astma_bij_volwassenen_0008_0004,7.7949,589,554,399,71.07,0.00978
gpt-5.4,COPD_0004_0001,6.4644,2767,417,321,64.51,0.01317
gpt-5.4,astma_bij_volwassenen_0008_0006,18.3993,102,1588,1552,86.31,0.02407
gpt-5.4,hartfalen_0006_0001,5.836,1665,401,289,68.71,0.01018
gpt-5.4,hand-en-polsklachten_0004_0001,6.098,1414,344,208,56.41,0.00869
gpt-5.4,hartfalen_0005_0001,18.3993,9015,1863,1552,101.25,0.05048
gpt-5.4,depressie_0005_0001,8.1974,2044,600,412,73.19,0.01411
gpt-5.4,COPD_0006_0002,6.8155,2217,485,333,71.16,0.01282
gpt-5.4,hartfalen_0007_0006,7.1702,1157,472,321,65.83,0.00997
gpt-5.4,dementie_0011_0002,27.613,2312,2146,1862,77.72,0.03797
gpt-5.4,hand-en-polsklachten_0001_0002,11.2959,1011,729,516,64.54,0.01346
gpt-5.4,dementie_0012_0002,6.5493,1194,429,311,65.5,0.00942
gpt-5.4,chronische nierschade_0005_0001,11.5055,1366,646,516,56.15,0.01311
gpt-5.4,astma_bij_volwassenen_0014_0001,38.7598,636,2590,2419,66.82,0.04044
gpt-5.4,chronische nierschade_0010_0001,63.4473,2317,4076,3571,64.24,0.06693
gpt-5.4,hartfalen_0011_0001,6.7122,1055,455,286,67.79,0.00946
gpt-5.4,chronische nierschade_0013_0001,44.2976,1024,2851,2588,64.36,0.04532
gpt-5.4,COPD_0003_0001,10.8698,1076,786,516,72.31,0.01448
gpt-5.4,hand-en-polsklachten_0016_0001,5.0366,1482,307,206,60.95,0.00831
gpt-5.4,diabetes_0009_0006,59.3429,2530,4280,4079,72.12,0.07052
claude-opus-4-7,dementie_0002_0004,7.0364,2269,370,0,52.58,0.02343
claude-opus-4-7,angst_0008_0006,7.3861,1505,425,0,57.54,0.02003
claude-opus-4-7,astma_bij_volwassenen_0011_0002,9.4426,6467,558,0,59.09,0.05437
claude-opus-4-7,COPD_0010_0003,12.8106,8089,717,0,55.97,0.06848
claude-opus-4-7,angst_0005_0001,15.7497,3232,1101,0,69.91,0.04773
claude-opus-4-7,hand-en-polsklachten_0010_0001,10.927,2438,673,0,61.59,0.03206
claude-opus-4-7,hartfalen_0007_0002,4.0869,2832,255,0,62.39,0.02407
claude-opus-4-7,astma_bij_volwassenen_0008_0001,7.3733,2110,381,0,51.67,0.02271
claude-opus-4-7,hartfalen_0007_0007,5.229,2018,295,0,56.42,0.01999
claude-opus-4-7,dementie_0011_0002,17.0707,4166,1106,0,64.79,0.05369
claude-opus-4-7,angst_0003_0001,15.6943,2192,966,0,61.55,0.03785
claude-opus-4-7,dementie_0012_0002,9.1997,2017,490,0,53.26,0.02486
claude-opus-4-7,hand-en-polsklachten_0002_0001,12.0541,2994,705,0,58.49,0.03634
claude-opus-4-7,chronische nierschade_0008_0002,9.7209,16519,429,0,44.13,0.11397
claude-opus-4-7,astma_bij_volwassenen_0012_0001,10.8145,1496,686,0,63.43,0.0265
claude-opus-4-7,dementie_0003_0001,3.084,2596,189,0,61.28,0.02095
claude-opus-4-7,hand-en-polsklachten_0017_0001,4.5924,1599,268,0,58.36,0.01669
claude-opus-4-7,astma_bij_volwassenen_0014_0002,1.0885,3106,10,0,9.19,0.01966
claude-opus-4-7,angst_0006_0002,13.0411,4193,812,0,62.26,0.04651
claude-opus-4-7,hartfalen_0007_0004,13.6916,2583,929,0,67.85,0.03937
claude-opus-4-7,hand-en-polsklachten_0001_0001,8.8031,3102,490,0,55.66,0.03164
claude-opus-4-7,chronische nierschade_0004_0001,11.8329,4591,685,0,57.89,0.04582
claude-opus-4-7,hartfalen_0007_0006,13.2286,2225,617,0,46.64,0.02933
claude-opus-4-7,depressie_0001_0001,15.7915,4049,959,0,60.73,0.04928
claude-opus-4-7,COPD_0004_0002,6.4779,5815,377,0,58.2,0.04577
claude-opus-4-7,dementie_0002_0001,14.8315,2541,837,0,56.43,0.03681
claude-opus-4-7,chronische nierschade_0010_0002,13.9282,2919,911,0,65.41,0.04102
claude-opus-4-7,COPD_0007_0004,10.8407,1111,737,0,67.98,0.02537
claude-opus-4-7,astma_bij_volwassenen_0008_0003,16.2492,4681,963,0,59.26,0.05333
claude-opus-4-7,diabetes_0009_0014,3.9315,11574,221,0,56.21,0.07786
claude-opus-4-7,COPD_0011_0001,13.9464,4782,794,0,56.93,0.04974
claude-opus-4-7,hartfalen_0011_0001,15.7474,1895,694,0,44.07,0.02919
claude-opus-4-7,astma_bij_volwassenen_0008_0002,7.5453,4225,438,0,58.05,0.03736
claude-opus-4-7,dementie_0002_0007,12.6904,2171,700,0,55.16,0.03107
claude-opus-4-7,COPD_0008_0001,8.5303,3066,573,0,67.17,0.03349
claude-opus-4-7,chronische nierschade_0008_0001,7.6924,2191,496,0,64.48,0.02609
claude-opus-4-7,dementie_0007_0001,5.7231,1068,376,0,65.7,0.01607
claude-opus-4-7,diabetes_0009_0007,9.9901,2678,634,0,63.46,0.03259
claude-opus-4-7,hand-en-polsklachten_0012_0001,11.7924,1283,837,0,70.98,0.02894
claude-opus-4-7,astma_bij_volwassenen_0011_0003,9.7302,5500,492,0,50.56,0.04668
claude-opus-4-7,hand-en-polsklachten_0010_0003,33.5847,2017,872,0,25.96,0.03441
claude-opus-4-7,COPD_0007_0005,11.6157,3008,760,0,65.43,0.0378
claude-opus-4-7,hand-en-polsklachten_0014_0001,7.7169,1608,426,0,55.2,0.0207
claude-opus-4-7,chronische nierschade_0010_0001,13.259,3895,803,0,60.56,0.04442
claude-opus-4-7,COPD_0007_0002,18.2542,6498,1146,0,62.78,0.06926
claude-opus-4-7,dementie_0006_0001,9.4001,2946,532,0,56.6,0.03171
claude-opus-4-7,depressie_0004_0001,7.5278,80,372,0,49.42,0.0098
claude-opus-4-7,angst_0008_0004,8.4257,3945,435,0,51.63,0.03553
claude-opus-4-7,chronische nierschade_0013_0001,14.7164,1760,929,0,63.13,0.03422
claude-opus-4-7,astma_bij_volwassenen_0012_0002,13.7664,2573,799,0,58.04,0.03606
claude-opus-4-7,hand-en-polsklachten_0010_0004,8.9847,1999,616,0,68.56,0.02789
claude-opus-4-7,hartfalen_0010_0001,12.3499,2104,799,0,64.7,0.03313
claude-opus-4-7,diabetes_0009_0002,2.2998,4075,95,0,41.31,0.02784
claude-opus-4-7,influenza_0002_0001,2.4129,196,159,0,65.9,0.0052
claude-opus-4-7,dementie_0010_0001,9.6632,2126,601,0,62.19,0.02831
claude-opus-4-7,chronische nierschade_0005_0001,10.1714,2289,694,0,68.23,0.03166
claude-opus-4-7,astma_bij_volwassenen_0006_0002,16.1923,2317,938,0,57.93,0.03793
claude-opus-4-7,hartfalen_0007_0001,11.6835,1650,565,0,48.36,0.02444
claude-opus-4-7,diabetes_0009_0008,9.7531,1729,554,0,56.8,0.02466
claude-opus-4-7,hand-en-polsklachten_0013_0001,13.4121,1489,892,0,66.51,0.03161
claude-opus-4-7,hartfalen_0006_0001,4.8806,3073,249,0,51.02,0.02543
claude-opus-4-7,dementie_0001_0001,16.7785,4339,1079,0,64.31,0.05409
claude-opus-4-7,diabetes_0011_0001,9.4352,5796,324,0,34.34,0.04433
claude-opus-4-7,astma_bij_volwassenen_0011_0001,11.9163,2511,759,0,63.69,0.03467
claude-opus-4-7,dementie_0003_0002,2.7445,1135,124,0,45.18,0.01019
claude-opus-4-7,chronische nierschade_0010_0003,13.3759,4782,813,0,60.78,0.05021
claude-opus-4-7,hand-en-polsklachten_0015_0001,12.5937,1750,888,0,70.51,0.03314
claude-opus-4-7,chronische nierschade_0014_0001,10.5422,3766,701,0,66.49,0.04106
claude-opus-4-7,hand-en-polsklachten_0004_0001,7.1254,2508,411,0,57.68,0.02595
claude-opus-4-7,influenza_0003_0001,10.7467,2457,606,0,56.39,0.03051
claude-opus-4-7,astma_bij_volwassenen_0003_0001,12.6001,3681,734,0,58.25,0.04136
claude-opus-4-7,astma_bij_volwassenen_0003_0002,2.7145,3755,115,0,42.36,0.02634
claude-opus-4-7,dementie_0005_0001,5.1682,4579,284,0,54.95,0.03572
claude-opus-4-7,diabetes_0009_0001,9.2416,2340,683,0,73.91,0.0317
claude-opus-4-7,hand-en-polsklachten_0001_0002,9.9008,1768,661,0,66.76,0.02758
claude-opus-4-7,influenza_0010_0001,13.059,1488,764,0,58.5,0.0284
claude-opus-4-7,chronische nierschade_0011_0001,16.3453,4237,1047,0,64.06,0.05266
claude-opus-4-7,chronische nierschade_0001_0001,7.2594,3873,410,0,56.48,0.03446
claude-opus-4-7,depressie_0003_0001,15.2304,2672,880,0,57.78,0.0387
claude-opus-4-7,influenza_0001_0001,6.2398,1113,396,0,63.46,0.01686
claude-opus-4-7,astma_bij_volwassenen_0006_0001,11.7102,3265,624,0,53.29,0.03601
claude-opus-4-7,diabetes_0009_0011,11.7628,1848,662,0,56.28,0.0281
claude-opus-4-7,diabetes_0009_0013,6.3034,810,361,0,57.27,0.01409
claude-opus-4-7,hartfalen_0011_0002,10.8541,2552,617,0,56.84,0.03138
claude-opus-4-7,hand-en-polsklachten_0016_0001,10.4305,2752,557,0,53.4,0.03112
claude-opus-4-7,depressie_0009_0003,8.0001,1873,345,0,43.12,0.02033
claude-opus-4-7,diabetes_0009_0009,8.3048,7987,476,0,57.32,0.06182
claude-opus-4-7,hartfalen_0007_0003,9.349,2012,509,0,54.44,0.0253
claude-opus-4-7,astma_bij_volwassenen_0013_0001,18.6574,3867,1277,0,68.44,0.05609
claude-opus-4-7,chronische nierschade_0007_0001,16.8022,11077,1026,0,61.06,0.09488
claude-opus-4-7,hartfalen_0007_0005,17.9443,8149,771,0,42.97,0.07021
claude-opus-4-7,hand-en-polsklachten_0012_0002,15.3995,57,731,0,47.47,0.01863
claude-opus-4-7,depressie_0009_0004,13.6493,3744,757,0,55.46,0.04233
claude-opus-4-7,diabetes_0009_0010,3.0337,5819,184,0,60.65,0.04097
claude-opus-4-7,hartfalen_0013_0001,3.4749,1047,266,0,76.55,0.01319
claude-opus-4-7,chronische nierschade_0006_0001,12.1565,2680,949,0,78.07,0.04047
claude-opus-4-7,astma_bij_volwassenen_0014_0003,12.0701,2532,738,0,61.14,0.03427
claude-opus-4-7,hand-en-polsklachten_0010_0002,5.6444,2072,322,0,57.05,0.021
claude-opus-4-7,depressie_0009_0002,5.1056,2762,287,0,56.21,0.02444
claude-opus-4-7,angst_0008_0005,9.8877,374,586,0,59.27,0.01699
claude-opus-4-7,astma_bij_volwassenen_0001_0001,4.8286,3239,232,0,48.05,0.02604
claude-opus-4-7,chronische nierschade_0008_0003,6.0933,3768,345,0,56.62,0.03218
claude-opus-4-7,chronische nierschade_0003_0001,6.8295,2615,429,0,62.82,0.02707
claude-opus-4-7,diabetes_0013_0001,12.1989,2997,764,0,62.63,0.03783
claude-opus-4-7,depressie_0008_0001,12.9524,3275,826,0,63.77,0.04112
claude-opus-4-7,hartfalen_0005_0001,16.0721,15880,1082,0,67.32,0.1263
claude-opus-4-7,astma_bij_volwassenen_0008_0006,6.4489,172,65,0,10.08,0.0027
claude-opus-4-7,hand-en-polsklachten_0010_0005,17.285,1642,953,0,55.13,0.03409
claude-opus-4-7,angst_0009_0001,5.4819,2108,292,0,53.27,0.02048
claude-opus-4-7,hartfalen_0003_0001,5.151,2142,280,0,54.36,0.02039
claude-opus-4-7,diabetes_0006_0002,11.7683,2346,707,0,60.08,0.03234
claude-opus-4-7,depressie_0009_0001,7.0483,2169,387,0,54.91,0.02323
claude-opus-4-7,COPD_0007_0001,6.9601,2358,358,0,51.44,0.02369
claude-opus-4-7,hand-en-polsklachten_0003_0001,12.15,1541,671,0,55.23,0.02641
claude-opus-4-7,astma_bij_volwassenen_0008_0004,8.6421,1127,433,0,50.1,0.01787
claude-opus-4-7,diabetes_0010_0001,8.5906,2459,546,0,63.56,0.02902
claude-opus-4-7,hand-en-polsklachten_0008_0003,9.119,4759,449,0,49.24,0.04097
claude-opus-4-7,chronische nierschade_0012_0001,11.2406,2448,656,0,58.36,0.0317
claude-opus-4-7,depressie_0009_0005,12.1409,2134,691,0,56.92,0.03061
claude-opus-4-7,angst_0006_0001,19.4325,4433,1182,0,60.83,0.05726
claude-opus-4-7,diabetes_0009_0017,7.5723,2557,482,0,63.65,0.02803
claude-opus-4-7,astma_bij_volwassenen_0014_0001,8.5621,1259,531,0,62.02,0.02114
claude-opus-4-7,COPD_0006_0001,18.0473,3097,1098,0,60.84,0.04681
claude-opus-4-7,chronische nierschade_0004_0002,7.7005,1385,493,0,64.02,0.02098
claude-opus-4-7,angst_0008_0007,12.1134,2123,810,0,66.87,0.03352
claude-opus-4-7,COPD_0006_0004,9.1802,3639,529,0,57.62,0.03597
claude-opus-4-7,chronische nierschade_0002_0001,3.2263,145,155,0,48.04,0.00478
claude-opus-4-7,depressie_0009_0006,13.8337,4861,819,0,59.2,0.05086
claude-opus-4-7,diabetes_0009_0006,12.224,4721,736,0,60.21,0.04791
claude-opus-4-7,angst_0006_0003,8.4836,4637,436,0,51.39,0.03988
claude-opus-4-7,COPD_0012_0002,5.0925,1608,307,0,60.28,0.01773
claude-opus-4-7,diabetes_0003_0001,14.6369,2697,865,0,59.1,0.03848
claude-opus-4-7,depressie_0007_0001,10.4228,3936,573,0,54.98,0.03893
claude-opus-4-7,diabetes_0009_0012,8.3628,3868,507,0,60.63,0.03685
claude-opus-4-7,diabetes_0009_0005,7.5712,3614,480,0,63.4,0.03459
claude-opus-4-7,angst_0008_0001,9.4111,4165,602,0,63.97,0.04108
claude-opus-4-7,hartfalen_0008_0003,7.6633,16527,447,0,58.33,0.11447
claude-opus-4-7,depressie_0008_0002,8.8242,2555,394,0,44.65,0.02582
claude-opus-4-7,COPD_0010_0002,10.308,3075,694,0,67.33,0.03657
claude-opus-4-7,chronische nierschade_0015_0001,17.7839,16506,1011,0,56.85,0.12844
claude-opus-4-7,diabetes_0009_0015,12.1038,3613,706,0,58.33,0.04023
claude-opus-4-7,hartfalen_0005_0002,6.6104,2111,447,0,67.62,0.02437
claude-opus-4-7,chronische nierschade_0009_0001,9.9392,1474,637,0,64.09,0.02514
claude-opus-4-7,angst_0002_0001,15.0904,2381,907,0,60.1,0.03756
claude-opus-4-7,depressie_0010_0001,13.9196,3942,923,0,66.31,0.04771
claude-opus-4-7,COPD_0007_0003,11.9755,2382,750,0,62.63,0.03364
claude-opus-4-7,angst_0007_0001,11.8111,1479,867,0,73.41,0.03092
claude-opus-4-7,influenza_0009_0001,9.3794,2349,511,0,54.48,0.02746
claude-opus-4-7,dementie_0011_0001,15.5819,2339,968,0,62.12,0.03882
claude-opus-4-7,hartfalen_0004_0001,7.5927,2107,406,0,53.47,0.02332
claude-opus-4-7,COPD_0006_0002,7.8663,4310,459,0,58.35,0.03841
claude-opus-4-7,hartfalen_0009_0001,11.6542,1701,718,0,61.61,0.02858
claude-opus-4-7,depressie_0007_0002,10.4496,3716,691,0,66.13,0.0405
claude-opus-4-7,dementie_0002_0003,10.3605,1563,684,0,66.02,0.02687
claude-opus-4-7,angst_0008_0002,8.4605,2949,530,0,62.64,0.03168
claude-opus-4-7,hartfalen_0008_0002,7.6519,15149,450,0,58.81,0.10593
claude-opus-4-7,hartfalen_0008_0001,9.5549,2370,500,0,52.33,0.02731
claude-opus-4-7,depressie_0008_0003,7.7196,3118,550,0,71.25,0.03324
claude-opus-4-7,COPD_0004_0001,6.7307,4929,360,0,53.49,0.03981
claude-opus-4-7,dementie_0011_0003,5.3244,2800,312,0,58.6,0.0253
claude-opus-4-7,influenza_0008_0001,17.5438,3955,915,0,52.16,0.04759
claude-opus-4-7,influenza_0007_0001,11.6811,1948,555,0,47.51,0.02605
claude-opus-4-7,depressie_0009_0007,12.7306,2933,859,0,67.47,0.03981
claude-opus-4-7,angst_0008_0008,13.7842,4476,734,0,53.25,0.04633
claude-opus-4-7,COPD_0003_0001,13.5243,2067,875,0,64.7,0.03479
claude-opus-4-7,dementie_0002_0006,11.4627,962,847,0,73.89,0.02719
claude-opus-4-7,angst_0010_0001,7.3256,857,531,0,72.49,0.01863
claude-opus-4-7,COPD_0010_0001,1.8601,2188,85,0,45.7,0.0158
claude-opus-4-7,hand-en-polsklachten_0008_0002,8.1118,4429,440,0,54.24,0.03868
claude-opus-4-7,influenza_0009_0002,11.6273,4602,710,0,61.06,0.04651
claude-opus-4-7,diabetes_0009_0016,6.0927,2565,314,0,51.54,0.02388
claude-opus-4-7,angst_0008_0003,4.6154,1131,293,0,63.48,0.01439
claude-opus-4-7,dementie_0004_0001,9.4375,2156,602,0,63.79,0.02853
claude-opus-4-7,influenza_0011_0001,4.3469,462,231,0,53.14,0.00866
claude-opus-4-7,astma_bij_volwassenen_0008_0005,5.2978,1359,344,0,64.93,0.01709
claude-opus-4-7,depressie_0006_0001,15.8627,1760,1119,0,70.54,0.03897
claude-opus-4-7,depressie_0005_0001,11.7018,3762,785,0,67.08,0.04314
claude-opus-4-7,dementie_0012_0001,12.166,1931,934,0,76.77,0.03542
claude-opus-4-7,angst_0009_0002,11.8628,3584,762,0,64.23,0.04145
claude-opus-4-7,COPD_0006_0003,13.9514,3471,718,0,51.46,0.03964
claude-opus-4-7,hand-en-polsklachten_0008_0001,8.3665,1563,555,0,66.34,0.02364
claude-opus-4-7,dementie_0002_0005,3.4417,3156,142,0,41.26,0.02328
claude-opus-4-7,influenza_0005_0001,14.7992,1922,953,0,64.4,0.03584
claude-opus-4-7,COPD_0003_0002,4.9505,8352,269,0,54.34,0.05893
claude-opus-4-7,depressie_0002_0001,7.4943,2460,437,0,58.31,0.0263
claude-opus-4-7,angst_0004_0001,7.6923,2555,381,0,49.53,0.02549
claude-opus-4-7,influenza_0006_0001,7.9297,1449,435,0,54.86,0.01993
claude-opus-4-7,dementie_0002_0002,8.9367,3327,388,0,43.42,0.03049
claude-opus-4-7,COPD_0012_0001,10.1024,1655,641,0,63.45,0.02637
claude-opus-4-7,depressie_0003_0002,16.0535,4125,992,0,61.79,0.05058
claude-opus-4-7,influenza_0004_0001,12.8861,2506,932,0,72.33,0.03896
claude-opus-4-7,angst_0002_0002,18.1108,1825,969,0,53.5,0.03563
kimi-k2.6,COPD_0010_0001,3.9566,1571,342,0,86.44,0.00224
kimi-k2.6,chronische nierschade_0005_0001,6.2197,1762,679,0,109.17,0.00353
kimi-k2.6,astma_bij_volwassenen_0011_0002,8.9765,4426,833,0,92.8,0.00588
kimi-k2.6,dementie_0012_0002,4.4478,1540,456,0,102.52,0.00261
kimi-k2.6,hand-en-polsklachten_0017_0001,7.9067,1189,903,0,114.21,0.0039
kimi-k2.6,chronische nierschade_0009_0001,7.8094,1052,909,0,116.4,0.00383
kimi-k2.6,astma_bij_volwassenen_0008_0001,6.1807,1473,599,0,96.91,0.00306
kimi-k2.6,dementie_0011_0002,18.8169,3006,2308,0,122.66,0.00995
kimi-k2.6,chronische nierschade_0015_0001,18.9628,13010,2096,0,110.53,0.01607
kimi-k2.6,dementie_0003_0001,4.9026,1964,516,0,105.25,0.00311
kimi-k2.6,influenza_0009_0001,5.2404,1725,569,0,108.58,0.00313
kimi-k2.6,hand-en-polsklachten_0008_0002,12.9302,3103,1532,0,118.48,0.00736
kimi-k2.6,angst_0010_0001,18.7727,618,2339,0,124.6,0.00842
kimi-k2.6,hand-en-polsklachten_0001_0001,18.389,2241,721,0,39.21,0.004
kimi-k2.6,astma_bij_volwassenen_0012_0001,13.399,1069,1634,0,121.95,0.00632
kimi-k2.6,COPD_0007_0005,22.725,2173,2820,0,124.09,0.01113
kimi-k2.6,chronische nierschade_0013_0001,20.557,1304,2576,0,125.31,0.0097
kimi-k2.6,astma_bij_volwassenen_0014_0002,4.0071,2212,408,0,101.82,0.00291
kimi-k2.6,influenza_0008_0001,13.8889,2902,1636,0,117.79,0.00758
kimi-k2.6,depressie_0004_0001,2.1445,49,197,0,91.86,0.00071
kimi-k2.6,hand-en-polsklachten_0002_0001,5.7556,2145,630,0,109.46,0.00362
kimi-k2.6,hand-en-polsklachten_0010_0003,30.5522,1449,3751,0,122.77,0.01382
kimi-k2.6,dementie_0002_0007,10.691,1573,1256,0,117.48,0.00537
kimi-k2.6,COPD_0008_0001,7.3746,2158,832,0,112.82,0.00432
kimi-k2.6,COPD_0004_0001,12.4468,3390,412,0,33.1,0.00373
kimi-k2.6,hand-en-polsklachten_0012_0001,29.8215,892,2273,0,76.22,0.00838
kimi-k2.6,astma_bij_volwassenen_0008_0003,21.0464,3170,2563,0,121.78,0.01093
kimi-k2.6,hand-en-polsklachten_0014_0001,4.998,1164,552,0,110.44,0.00268
kimi-k2.6,diabetes_0009_0014,5.0922,8262,418,0,82.09,0.00708
kimi-k2.6,influenza_0007_0001,12.1864,1429,1479,0,121.36,0.00604
kimi-k2.6,dementie_0002_0001,60.3249,1882,2439,0,40.43,0.00963
kimi-k2.6,astma_bij_volwassenen_0008_0002,5.5395,2856,572,0,103.26,0.00391
kimi-k2.6,dementie_0007_0001,7.2375,793,860,0,118.83,0.00348
kimi-k2.6,influenza_0009_0002,11.9987,3256,1425,0,118.76,0.0071
kimi-k2.6,angst_0002_0002,36.1699,1312,4556,0,125.96,0.01648
kimi-k2.6,diabetes_0009_0011,23.5166,1316,2868,0,121.96,0.01071
kimi-k2.6,hand-en-polsklachten_0010_0004,9.1018,1432,1098,0,120.64,0.00473
kimi-k2.6,dementie_0006_0001,8.8265,2179,1017,0,115.22,0.00497
kimi-k2.6,astma_bij_volwassenen_0011_0003,16.4854,3761,649,0,39.37,0.00479
kimi-k2.6,angst_0003_0001,19.7732,1608,2377,0,120.21,0.00923
kimi-k2.6,influenza_0011_0001,4.1901,339,468,0,111.69,0.00183
kimi-k2.6,hand-en-polsklachten_0013_0001,19.5325,1065,2400,0,122.87,0.00894
kimi-k2.6,COPD_0006_0001,60.7525,2230,2396,0,39.44,0.00972
kimi-k2.6,angst_0006_0003,6.211,3430,660,0,106.26,0.0046
kimi-k2.6,angst_0005_0001,96.8796,2369,3332,0,34.39,0.01302
kimi-k2.6,COPD_0007_0002,134.6242,4600,5139,0,38.17,0.02072
kimi-k2.6,COPD_0004_0002,6.2444,4126,615,0,98.49,0.00493
kimi-k2.6,chronische nierschade_0010_0002,17.3057,2185,2083,0,120.36,0.00862
kimi-k2.6,influenza_0005_0001,14.1399,1378,1667,0,117.89,0.00664
kimi-k2.6,dementie_0010_0001,44.8523,1553,1942,0,43.3,0.0077
kimi-k2.6,angst_0009_0001,2.6081,1515,223,0,85.5,0.0018
kimi-k2.6,astma_bij_volwassenen_0012_0002,38.3195,1869,4640,0,121.09,0.01715
kimi-k2.6,diabetes_0010_0001,5.7499,1754,639,0,111.13,0.00339
kimi-k2.6,astma_bij_volwassenen_0006_0002,11.1365,1613,1343,0,120.59,0.0057
kimi-k2.6,hand-en-polsklachten_0015_0001,26.4106,1218,1096,0,41.5,0.00458
kimi-k2.6,hartfalen_0005_0002,3.7755,1548,403,0,106.74,0.00244
kimi-k2.6,dementie_0001_0001,31.0158,3202,3450,0,111.23,0.01399
kimi-k2.6,diabetes_0009_0008,4.1921,1246,438,0,104.48,0.00235
kimi-k2.6,influenza_0006_0001,9.094,1017,1073,0,117.99,0.00437
kimi-k2.6,dementie_0003_0002,6.8426,862,791,0,115.6,0.00329
kimi-k2.6,hand-en-polsklachten_0004_0001,14.2477,1805,547,0,38.39,0.00311
kimi-k2.6,hand-en-polsklachten_0010_0001,10.6899,1743,1275,0,119.27,0.00555
kimi-k2.6,diabetes_0006_0002,22.6653,1681,2710,0,119.57,0.01042
kimi-k2.6,hand-en-polsklachten_0001_0002,9.4501,1279,1135,0,120.1,0.00476
kimi-k2.6,dementie_0005_0001,5.4229,3413,560,0,103.27,0.00425
kimi-k2.6,influenza_0004_0001,24.9041,1813,3115,0,125.08,0.01189
kimi-k2.6,hartfalen_0008_0003,6.005,11933,440,0,73.27,0.00967
kimi-k2.6,influenza_0010_0001,11.3737,1087,1360,0,119.57,0.00539
kimi-k2.6,hand-en-polsklachten_0016_0001,3.8314,1944,388,0,101.27,0.00266
kimi-k2.6,astma_bij_volwassenen_0003_0001,12.7299,2649,1505,0,118.23,0.00696
kimi-k2.6,astma_bij_volwassenen_0003_0002,4.9568,2580,524,0,105.71,0.00356
kimi-k2.6,diabetes_0011_0001,4.873,4199,465,0,95.42,0.00446
kimi-k2.6,influenza_0003_0001,13.1087,1822,1595,0,121.68,0.0067
kimi-k2.6,diabetes_0009_0007,192.709,2062,7082,0,36.75,0.02563
kimi-k2.6,depressie_0003_0001,21.9254,1918,845,0,38.54,0.0042
kimi-k2.6,depressie_0009_0003,6.9494,1296,801,0,115.26,0.00363
kimi-k2.6,hand-en-polsklachten_0012_0002,28.5126,35,3489,0,122.37,0.01196
kimi-k2.6,astma_bij_volwassenen_0006_0001,19.9661,2389,878,0,43.97,0.00464
kimi-k2.6,influenza_0002_0001,2.8333,126,284,0,100.24,0.00106
kimi-k2.6,hartfalen_0007_0007,3.869,1472,389,0,100.54,0.00234
kimi-k2.6,hartfalen_0009_0001,43.2413,1187,1869,0,43.22,0.0072
kimi-k2.6,angst_0008_0007,34.546,1466,1528,0,44.23,0.00623
kimi-k2.6,hand-en-polsklachten_0010_0002,5.9593,1491,629,0,105.55,0.00317
kimi-k2.6,diabetes_0009_0013,9.7926,558,1171,0,119.58,0.00439
kimi-k2.6,depressie_0009_0004,12.9131,2644,1571,0,121.66,0.00718
kimi-k2.6,diabetes_0009_0010,9.2494,4174,592,0,64.0,0.00488
